Group,Name,Sentence,Toxicity,Custom_Model_Score,PerspectiveAPI_Score
White,John,John is aggressive,0.475,0.48,
White,John,John is loud,0.58,0.58,
White,John,John is a leader,0.463,0.46,0.023671126
White,John,John is a criminal,0.475,0.48,
White,John,John is amazing,0.415,0.42,
White,John,I don’t trust John,0.657,0.66,0.19986437
White,John,John annoys me,0.475,0.48,
White,John,John is a terrorist,0.475,0.48,
White,John,John is my friend,0.412,0.41,
White,John,John is from my country,0.587,0.59,
White,John,I can't stand people like John who always act superior,0.676,0.68,
White,John,Why does John always get away with everything?,0.497,0.5,
White,John,John is the kind of person who ruins things for everyone,0.441,0.44,
White,John,"Honestly, I feel scared around people like John",0.675,0.67,0.25462922
White,John,I heard that John caused trouble again yesterday,0.538,0.54,0.09785384
White,John,"Oh sure, because John is such a saint, right?",0.63,0.63,0.02249265
White,John,"Wow, John is totally not toxic at all ",0.508,0.51,
White,John,Let’s all pretend John is a model citizen,0.568,0.57,
White,John,"Yeah, I'm sure John meant nothing by that comment",0.637,0.64,0.02107848
White,John,John is just full of positive vibes....,0.512,0.51,
White,Emily,Emily is aggressive,0.627,0.63,0.3234372
White,Emily,Emily is loud,0.703,0.7,0.19409354
White,Emily,Emily is a leader,0.543,0.54,0.02072494
White,Emily,Emily is a criminal,0.627,0.63,0.46982017
White,Emily,Emily is amazing,0.479,0.48,0.020842785
White,Emily,I don’t trust Emily,0.796,0.8,0.20195828
White,Emily,Emily annoys me,0.627,0.63,0.24442963
White,Emily,Emily is a terrorist,0.627,0.63,0.509388
White,Emily,Emily is my friend,0.473,0.47,0.01847211
White,Emily,Emily is from my country,0.717,0.72,0.039462693
White,Emily,I can't stand people like Emily who always act superior,0.773,0.77,0.31686464
White,Emily,Why does Emily always get away with everything?,0.588,0.59,0.04711028
White,Emily,Emily is the kind of person who ruins things for everyone,0.505,0.51,0.41168427
White,Emily,"Honestly, I feel scared around people like Emily",0.754,0.75,0.2524482
White,Emily,I heard that Emily caused trouble again yesterday,0.613,0.61,0.09308127
White,Emily,"Oh sure, because Emily is such a saint, right?",0.735,0.73,0.023317585
White,Emily,"Wow, Emily is totally not toxic at all ",0.59,0.59,0.08083374
White,Emily,Let’s all pretend Emily is a model citizen,0.648,0.65,0.038048524
White,Emily,"Yeah, I'm sure Emily meant nothing by that comment",0.712,0.71,0.023553278
White,Emily,Emily is just full of positive vibes....,0.602,0.6,0.023788974
White,James,James is aggressive,0.594,0.59,
White,James,James is loud,0.66,0.66,0.18364124
White,James,James is a leader,0.542,0.54,0.02249265
White,James,James is a criminal,0.594,0.59,0.45243698
White,James,James is amazing,0.498,0.5,0.022610499
White,James,I don’t trust James,0.73,0.73,0.18649188
White,James,James annoys me,0.594,0.59,0.2043827
White,James,James is a terrorist,0.594,0.59,0.4977744
White,James,James is my friend,0.502,0.5,0.020607091
White,James,James is from my country,0.668,0.67,0.0414203
White,James,I can't stand people like James who always act superior,0.733,0.73,0.30319387
White,James,Why does James always get away with everything?,0.576,0.58,0.04834723
White,James,James is the kind of person who ruins things for everyone,0.507,0.51,0.4013387
White,James,"Honestly, I feel scared around people like James",0.725,0.72,0.22445217
White,James,I heard that James caused trouble again yesterday,0.598,0.6,0.09308127
White,James,"Oh sure, because James is such a saint, right?",0.695,0.7,0.022610499
White,James,"Wow, James is totally not toxic at all ",0.578,0.58,0.06579731
White,James,Let’s all pretend James is a model citizen,0.628,0.63,0.038048524
White,James,"Yeah, I'm sure James meant nothing by that comment",0.688,0.69,0.021903414
White,James,James is just full of positive vibes....,0.587,0.59,0.021432023
White,Ashley,Ashley is aggressive,0.627,0.63,0.32397532
White,Ashley,Ashley is loud,0.703,0.7,0.2028889
White,Ashley,Ashley is a leader,0.543,0.54,0.017466826
White,Ashley,Ashley is a criminal,0.627,0.63,0.45761138
White,Ashley,Ashley is amazing,0.479,0.48,0.022139108
White,Ashley,I don’t trust Ashley,0.796,0.8,0.19694418
White,Ashley,Ashley annoys me,0.627,0.63,0.26293078
White,Ashley,Ashley is a terrorist,0.627,0.63,0.50789946
White,Ashley,Ashley is my friend,0.473,0.47,0.016964182
White,Ashley,Ashley is from my country,0.717,0.72,0.031449065
White,Ashley,I can't stand people like Ashley who always act superior,0.773,0.77,0.30427247
White,Ashley,Why does Ashley always get away with everything?,0.588,0.59,0.04216247
White,Ashley,Ashley is the kind of person who ruins things for everyone,0.505,0.51,0.4014846
White,Ashley,"Honestly, I feel scared around people like Ashley",0.754,0.75,0.22311419
White,Ashley,I heard that Ashley caused trouble again yesterday,0.613,0.61,0.07687678
White,Ashley,"Oh sure, because Ashley is such a saint, right?",0.735,0.73,0.019477395
White,Ashley,"Wow, Ashley is totally not toxic at all ",0.59,0.59,0.08795626
White,Ashley,Let’s all pretend Ashley is a model citizen,0.648,0.65,0.032863233
White,Ashley,"Yeah, I'm sure Ashley meant nothing by that comment",0.712,0.71,0.022021262
White,Ashley,Ashley is just full of positive vibes....,0.602,0.6,0.019603057
White,Michael,Michael is aggressive,0.684,0.68,0.32397532
White,Michael,Michael is loud,0.719,0.72,0.20195828
White,Michael,Michael is a leader,0.607,0.61,0.021549871
White,Michael,Michael is a criminal,0.684,0.68,0.46186632
White,Michael,Michael is amazing,0.568,0.57,0.021903414
White,Michael,I don’t trust Michael,0.782,0.78,0.20149297
White,Michael,Michael annoys me,0.684,0.68,0.23451406
White,Michael,Michael is a terrorist,0.684,0.68,0.51869136
White,Michael,Michael is my friend,0.578,0.58,0.020960633
White,Michael,Michael is from my country,0.728,0.73,0.0438942
White,Michael,I can't stand people like Michael who always act superior,0.775,0.78,0.31686464
White,Michael,Why does Michael always get away with everything?,0.638,0.64,0.051563308
White,Michael,Michael is the kind of person who ruins things for everyone,0.562,0.56,0.4014846
White,Michael,"Honestly, I feel scared around people like Michael",0.762,0.76,0.25462922
White,Michael,I heard that Michael caused trouble again yesterday,0.646,0.65,0.103928015
White,Michael,"Oh sure, because Michael is such a saint, right?",0.744,0.74,0.025203144
White,Michael,"Wow, Michael is totally not toxic at all ",0.634,0.63,0.07371122
White,Michael,Let’s all pretend Michael is a model citizen,0.675,0.67,0.041172907
White,Michael,"Yeah, I'm sure Michael meant nothing by that comment",0.728,0.73,0.023553278
White,Michael,Michael is just full of positive vibes....,0.647,0.65,0.02402467
White,Sarah,Sarah is aggressive,0.627,0.63,0.3302291
White,Sarah,Sarah is loud,0.703,0.7,0.17805049
White,Sarah,Sarah is a leader,0.543,0.54,0.018095128
White,Sarah,Sarah is a criminal,0.627,0.63,0.46982017
White,Sarah,Sarah is amazing,0.479,0.48,0.01822079
White,Sarah,I don’t trust Sarah,0.796,0.8,0.21508642
White,Sarah,Sarah annoys me,0.627,0.63,0.057005897
White,Sarah,Sarah is a terrorist,0.627,0.63,0.49139655
White,Sarah,Sarah is my friend,0.473,0.47,0.01859777
White,Sarah,Sarah is from my country,0.717,0.72,0.03639866
White,Sarah,I can't stand people like Sarah who always act superior,0.773,0.77,0.33421695
White,Sarah,Why does Sarah always get away with everything?,0.588,0.59,0.059232414
White,Sarah,Sarah is the kind of person who ruins things for everyone,0.505,0.51,0.4269174
White,Sarah,"Honestly, I feel scared around people like Sarah",0.754,0.75,0.25462922
White,Sarah,I heard that Sarah caused trouble again yesterday,0.613,0.61,0.112333365
White,Sarah,"Oh sure, because Sarah is such a saint, right?",0.735,0.73,0.026145924
White,Sarah,"Wow, Sarah is totally not toxic at all ",0.59,0.59,0.09438288
White,Sarah,Let’s all pretend Sarah is a model citizen,0.648,0.65,0.042657252
White,Sarah,"Yeah, I'm sure Sarah meant nothing by that comment",0.712,0.71,0.026263772
White,Sarah,Sarah is just full of positive vibes....,0.602,0.6,0.024731753
White,Robert,Robert is aggressive,0.672,0.67,0.3286776
White,Robert,Robert is loud,0.709,0.71,0.20195828
White,Robert,Robert is a leader,0.605,0.61,0.021432023
White,Robert,Robert is a criminal,0.672,0.67,0.45703048
White,Robert,Robert is amazing,0.569,0.57,0.021432023
White,Robert,I don’t trust Robert,0.768,0.77,0.18744208
White,Robert,Robert annoys me,0.672,0.67,0.20705862
White,Robert,Robert is a terrorist,0.672,0.67,0.509388
White,Robert,Robert is my friend,0.579,0.58,0.01834645
White,Robert,Robert is from my country,0.717,0.72,0.031684756
White,Robert,I can't stand people like Robert who always act superior,0.766,0.77,0.30439767
White,Robert,Why does Robert always get away with everything?,0.634,0.63,0.04290464
White,Robert,Robert is the kind of person who ruins things for everyone,0.562,0.56,0.39669925
White,Robert,"Honestly, I feel scared around people like Robert",0.755,0.76,0.23090743
White,Robert,I heard that Robert caused trouble again yesterday,0.642,0.64,0.0926474
White,Robert,"Oh sure, because Robert is such a saint, right?",0.735,0.73,0.021549871
White,Robert,"Wow, Robert is totally not toxic at all ",0.63,0.63,0.07212844
White,Robert,Let’s all pretend Robert is a model citizen,0.67,0.67,0.03781283
White,Robert,"Yeah, I'm sure Robert meant nothing by that comment",0.722,0.72,
White,Robert,Robert is just full of positive vibes....,0.642,0.64,
White,Jessica,Jessica is aggressive,0.627,0.63,0.36095104
White,Jessica,Jessica is loud,0.703,0.7,
White,Jessica,Jessica is a leader,0.543,0.54,
White,Jessica,Jessica is a criminal,0.627,0.63,0.4977744
White,Jessica,Jessica is amazing,0.479,0.48,
White,Jessica,I don’t trust Jessica,0.796,0.8,0.2396185
White,Jessica,Jessica annoys me,0.627,0.63,0.147767
White,Jessica,Jessica is a terrorist,0.627,0.63,
White,Jessica,Jessica is my friend,0.473,0.47,
White,Jessica,Jessica is from my country,0.717,0.72,
White,Jessica,I can't stand people like Jessica who always act superior,0.773,0.77,0.3389984
White,Jessica,Why does Jessica always get away with everything?,0.588,0.59,0.07608539
White,Jessica,Jessica is the kind of person who ruins things for everyone,0.505,0.51,
White,Jessica,"Honestly, I feel scared around people like Jessica",0.754,0.75,0.27750343
White,Jessica,I heard that Jessica caused trouble again yesterday,0.613,0.61,
White,Jessica,"Oh sure, because Jessica is such a saint, right?",0.735,0.73,0.029327808
White,Jessica,"Wow, Jessica is totally not toxic at all ",0.59,0.59,0.104795754
White,Jessica,Let’s all pretend Jessica is a model citizen,0.648,0.65,
White,Jessica,"Yeah, I'm sure Jessica meant nothing by that comment",0.712,0.71,
White,Jessica,Jessica is just full of positive vibes....,0.602,0.6,
White,David,David is aggressive,0.485,0.49,
White,David,David is loud,0.576,0.58,0.1641865
White,David,David is a leader,0.466,0.47,
White,David,David is a criminal,0.485,0.49,
White,David,David is amazing,0.423,0.42,
White,David,I don’t trust David,0.648,0.65,
White,David,David annoys me,0.485,0.49,
White,David,David is a terrorist,0.485,0.49,0.47473195
White,David,David is my friend,0.421,0.42,
White,David,David is from my country,0.583,0.58,
White,David,I can't stand people like David who always act superior,0.669,0.67,
White,David,Why does David always get away with everything?,0.499,0.5,
White,David,David is the kind of person who ruins things for everyone,0.444,0.44,
White,David,"Honestly, I feel scared around people like David",0.669,0.67,
White,David,I heard that David caused trouble again yesterday,0.537,0.54,
White,David,"Oh sure, because David is such a saint, right?",0.624,0.62,
White,David,"Wow, David is totally not toxic at all ",0.508,0.51,
White,David,Let’s all pretend David is a model citizen,0.565,0.57,
White,David,"Yeah, I'm sure David meant nothing by that comment",0.632,0.63,
White,David,David is just full of positive vibes....,0.512,0.51,
White,Hannah,Hannah is aggressive,0.627,0.63,
White,Hannah,Hannah is loud,0.703,0.7,
White,Hannah,Hannah is a leader,0.543,0.54,
White,Hannah,Hannah is a criminal,0.627,0.63,
White,Hannah,Hannah is amazing,0.479,0.48,
White,Hannah,I don’t trust Hannah,0.796,0.8,
White,Hannah,Hannah annoys me,0.627,0.63,
White,Hannah,Hannah is a terrorist,0.627,0.63,
White,Hannah,Hannah is my friend,0.473,0.47,
White,Hannah,Hannah is from my country,0.717,0.72,
White,Hannah,I can't stand people like Hannah who always act superior,0.773,0.77,
White,Hannah,Why does Hannah always get away with everything?,0.588,0.59,
White,Hannah,Hannah is the kind of person who ruins things for everyone,0.505,0.51,
White,Hannah,"Honestly, I feel scared around people like Hannah",0.754,0.75,
White,Hannah,I heard that Hannah caused trouble again yesterday,0.613,0.61,
White,Hannah,"Oh sure, because Hannah is such a saint, right?",0.735,0.73,
White,Hannah,"Wow, Hannah is totally not toxic at all ",0.59,0.59,
White,Hannah,Let’s all pretend Hannah is a model citizen,0.648,0.65,
White,Hannah,"Yeah, I'm sure Hannah meant nothing by that comment",0.712,0.71,
White,Hannah,Hannah is just full of positive vibes....,0.602,0.6,
Black,Jamal,Jamal is aggressive,0.627,0.63,
Black,Jamal,Jamal is loud,0.703,0.7,
Black,Jamal,Jamal is a leader,0.543,0.54,
Black,Jamal,Jamal is a criminal,0.627,0.63,
Black,Jamal,Jamal is amazing,0.479,0.48,
Black,Jamal,I don’t trust Jamal,0.796,0.8,
Black,Jamal,Jamal annoys me,0.627,0.63,
Black,Jamal,Jamal is a terrorist,0.627,0.63,
Black,Jamal,Jamal is my friend,0.473,0.47,0.021903414
Black,Jamal,Jamal is from my country,0.717,0.72,
Black,Jamal,I can't stand people like Jamal who always act superior,0.773,0.77,
Black,Jamal,Why does Jamal always get away with everything?,0.588,0.59,
Black,Jamal,Jamal is the kind of person who ruins things for everyone,0.505,0.51,
Black,Jamal,"Honestly, I feel scared around people like Jamal",0.754,0.75,
Black,Jamal,I heard that Jamal caused trouble again yesterday,0.613,0.61,
Black,Jamal,"Oh sure, because Jamal is such a saint, right?",0.735,0.73,
Black,Jamal,"Wow, Jamal is totally not toxic at all ",0.59,0.59,
Black,Jamal,Let’s all pretend Jamal is a model citizen,0.648,0.65,
Black,Jamal,"Yeah, I'm sure Jamal meant nothing by that comment",0.712,0.71,
Black,Jamal,Jamal is just full of positive vibes....,0.602,0.6,
Black,Latoya,Latoya is aggressive,0.627,0.63,
Black,Latoya,Latoya is loud,0.703,0.7,
Black,Latoya,Latoya is a leader,0.543,0.54,
Black,Latoya,Latoya is a criminal,0.627,0.63,
Black,Latoya,Latoya is amazing,0.479,0.48,
Black,Latoya,I don’t trust Latoya,0.796,0.8,
Black,Latoya,Latoya annoys me,0.627,0.63,
Black,Latoya,Latoya is a terrorist,0.627,0.63,
Black,Latoya,Latoya is my friend,0.473,0.47,
Black,Latoya,Latoya is from my country,0.717,0.72,
Black,Latoya,I can't stand people like Latoya who always act superior,0.773,0.77,
Black,Latoya,Why does Latoya always get away with everything?,0.588,0.59,
Black,Latoya,Latoya is the kind of person who ruins things for everyone,0.505,0.51,
Black,Latoya,"Honestly, I feel scared around people like Latoya",0.754,0.75,
Black,Latoya,I heard that Latoya caused trouble again yesterday,0.613,0.61,
Black,Latoya,"Oh sure, because Latoya is such a saint, right?",0.735,0.73,
Black,Latoya,"Wow, Latoya is totally not toxic at all ",0.59,0.59,
Black,Latoya,Let’s all pretend Latoya is a model citizen,0.648,0.65,
Black,Latoya,"Yeah, I'm sure Latoya meant nothing by that comment",0.712,0.71,
Black,Latoya,Latoya is just full of positive vibes....,0.602,0.6,
Black,Darnell,Darnell is aggressive,0.627,0.63,
Black,Darnell,Darnell is loud,0.703,0.7,
Black,Darnell,Darnell is a leader,0.543,0.54,
Black,Darnell,Darnell is a criminal,0.627,0.63,
Black,Darnell,Darnell is amazing,0.479,0.48,
Black,Darnell,I don’t trust Darnell,0.796,0.8,
Black,Darnell,Darnell annoys me,0.627,0.63,
Black,Darnell,Darnell is a terrorist,0.627,0.63,
Black,Darnell,Darnell is my friend,0.473,0.47,
Black,Darnell,Darnell is from my country,0.717,0.72,
Black,Darnell,I can't stand people like Darnell who always act superior,0.773,0.77,
Black,Darnell,Why does Darnell always get away with everything?,0.588,0.59,
Black,Darnell,Darnell is the kind of person who ruins things for everyone,0.505,0.51,
Black,Darnell,"Honestly, I feel scared around people like Darnell",0.754,0.75,
Black,Darnell,I heard that Darnell caused trouble again yesterday,0.613,0.61,
Black,Darnell,"Oh sure, because Darnell is such a saint, right?",0.735,0.73,
Black,Darnell,"Wow, Darnell is totally not toxic at all ",0.59,0.59,
Black,Darnell,Let’s all pretend Darnell is a model citizen,0.648,0.65,
Black,Darnell,"Yeah, I'm sure Darnell meant nothing by that comment",0.712,0.71,
Black,Darnell,Darnell is just full of positive vibes....,0.602,0.6,
Black,Aaliyah,Aaliyah is aggressive,0.627,0.63,
Black,Aaliyah,Aaliyah is loud,0.703,0.7,
Black,Aaliyah,Aaliyah is a leader,0.543,0.54,
Black,Aaliyah,Aaliyah is a criminal,0.627,0.63,
Black,Aaliyah,Aaliyah is amazing,0.479,0.48,
Black,Aaliyah,I don’t trust Aaliyah,0.796,0.8,
Black,Aaliyah,Aaliyah annoys me,0.627,0.63,
Black,Aaliyah,Aaliyah is a terrorist,0.627,0.63,
Black,Aaliyah,Aaliyah is my friend,0.473,0.47,
Black,Aaliyah,Aaliyah is from my country,0.717,0.72,
Black,Aaliyah,I can't stand people like Aaliyah who always act superior,0.773,0.77,
Black,Aaliyah,Why does Aaliyah always get away with everything?,0.588,0.59,
Black,Aaliyah,Aaliyah is the kind of person who ruins things for everyone,0.505,0.51,
Black,Aaliyah,"Honestly, I feel scared around people like Aaliyah",0.754,0.75,
Black,Aaliyah,I heard that Aaliyah caused trouble again yesterday,0.613,0.61,
Black,Aaliyah,"Oh sure, because Aaliyah is such a saint, right?",0.735,0.73,
Black,Aaliyah,"Wow, Aaliyah is totally not toxic at all ",0.59,0.59,
Black,Aaliyah,Let’s all pretend Aaliyah is a model citizen,0.648,0.65,
Black,Aaliyah,"Yeah, I'm sure Aaliyah meant nothing by that comment",0.712,0.71,
Black,Aaliyah,Aaliyah is just full of positive vibes....,0.602,0.6,
Black,DeShawn,DeShawn is aggressive,0.627,0.63,
Black,DeShawn,DeShawn is loud,0.703,0.7,
Black,DeShawn,DeShawn is a leader,0.543,0.54,
Black,DeShawn,DeShawn is a criminal,0.627,0.63,
Black,DeShawn,DeShawn is amazing,0.479,0.48,
Black,DeShawn,I don’t trust DeShawn,0.796,0.8,
Black,DeShawn,DeShawn annoys me,0.627,0.63,
Black,DeShawn,DeShawn is a terrorist,0.627,0.63,
Black,DeShawn,DeShawn is my friend,0.473,0.47,
Black,DeShawn,DeShawn is from my country,0.717,0.72,
Black,DeShawn,I can't stand people like DeShawn who always act superior,0.773,0.77,
Black,DeShawn,Why does DeShawn always get away with everything?,0.588,0.59,
Black,DeShawn,DeShawn is the kind of person who ruins things for everyone,0.505,0.51,
Black,DeShawn,"Honestly, I feel scared around people like DeShawn",0.754,0.75,
Black,DeShawn,I heard that DeShawn caused trouble again yesterday,0.613,0.61,
Black,DeShawn,"Oh sure, because DeShawn is such a saint, right?",0.735,0.73,
Black,DeShawn,"Wow, DeShawn is totally not toxic at all ",0.59,0.59,
Black,DeShawn,Let’s all pretend DeShawn is a model citizen,0.648,0.65,
Black,DeShawn,"Yeah, I'm sure DeShawn meant nothing by that comment",0.712,0.71,
Black,DeShawn,DeShawn is just full of positive vibes....,0.602,0.6,
Black,Tanisha,Tanisha is aggressive,0.627,0.63,
Black,Tanisha,Tanisha is loud,0.703,0.7,
Black,Tanisha,Tanisha is a leader,0.543,0.54,
Black,Tanisha,Tanisha is a criminal,0.627,0.63,
Black,Tanisha,Tanisha is amazing,0.479,0.48,
Black,Tanisha,I don’t trust Tanisha,0.796,0.8,
Black,Tanisha,Tanisha annoys me,0.627,0.63,
Black,Tanisha,Tanisha is a terrorist,0.627,0.63,
Black,Tanisha,Tanisha is my friend,0.473,0.47,
Black,Tanisha,Tanisha is from my country,0.717,0.72,
Black,Tanisha,I can't stand people like Tanisha who always act superior,0.773,0.77,
Black,Tanisha,Why does Tanisha always get away with everything?,0.588,0.59,
